log_id,customer_id,activity_date,activity_type
162,6294,2022-07-06,Purchase
163,8952,2020-10-28,Login
164,9311,2023-09-07,Login
165,6194,2020-08-26,Support Request
166,5808,2021-12-23,Cancel
167,7022,2021-04-07,Purchase
168,1463,2020-04-06,Purchase
169,6692,2021-03-06,Support Request
170,3019,2021-02-26,Purchase
171,2845,2024-08-31,Login
172,6754,2020-10-14,Login
173,7343,2022-01-28,Purchase
174,6777,2020-09-13,Purchase
175,6194,2024-02-05,Purchase
176,9737,2023-05-25,Purchase
177,7756,2021-01-17,Login
178,7765,2022-10-21,Cancel
179,2494,2022-07-16,Purchase
180,7084,2024-03-22,Login
181,1917,2023-07-03,Purchase
182,3318,2021-08-18,Support Request
183,3571,2023-06-22,Login
184,4611,2024-06-20,Support Request
185,5775,2025-02-17,Purchase
186,595,2024-05-12,Login
187,771,2022-12-02,Purchase
188,8532,2023-03-24,Login
189,7371,2025-02-19,Login
190,4,2021-08-29,Support Request
191,6563,2023-04-17,Login
192,1928,2021-08-09,Cancel
193,8867,2021-09-05,Login
194,4420,2023-07-17,Login
195,3620,2021-10-08,Login
196,3150,2024-10-05,Purchase
197,4780,2023-02-27,Support Request
198,5625,2023-08-11,Purchase
199,3912,2021-01-20,Cancel
200,3257,2022-05-09,Purchase
201,6199,2023-05-26,Purchase
202,7809,2025-01-28,Support Request
203,6713,2021-02-20,Login
204,340,2024-08-04,Purchase
205,6158,2024-06-09,Login
206,1075,2024-07-23,Support Request
207,7516,2020-09-20,Purchase
208,1895,2024-10-03,Login
209,7149,2022-01-21,Login
210,4154,2021-03-02,Login
211,9593,2023-02-11,Support Request
212,1915,2024-05-27,Login
213,3849,2020-05-06,Purchase
214,4560,2021-01-14,Login
215,7784,2024-01-02,Purchase
216,4808,2020-11-08,Login
217,5074,2023-09-02,Login
218,2722,2024-01-07,Login
219,7159,2021-06-07,Purchase
220,7192,2024-10-16,Login
221,4170,2022-02-17,Login
222,9521,2023-05-19,Login
223,251,2023-11-05,Purchase
224,7493,2023-03-17,Support Request
225,2115,2023-02-23,Login
226,5345,2024-06-14,Cancel
227,6708,2023-05-15,Support Request
228,5703,2021-07-03,Login
229,493,2023-01-13,Purchase
230,1023,2025-01-11,Login
231,7253,2024-09-28,Cancel
232,3302,2020-03-03,Purchase
233,4738,2024-09-23,Purchase
234,9726,2021-07-09,Purchase
235,9154,2020-04-20,Support Request
236,9679,2023-10-09,Purchase
237,6415,2022-01-14,Cancel
238,7442,2021-08-11,Purchase
239,7237,2023-08-08,Login
240,3418,2025-01-30,Login
241,5918,2023-11-22,Login
242,2126,2022-01-27,Purchase
243,8325,2024-11-02,Login
244,5544,2021-08-27,Support Request
245,9579,2021-02-14,Cancel
246,6920,2023-02-24,Purchase
247,3674,2022-05-14,Support Request
248,3898,2025-02-22,Login
249,2740,2021-05-07,Purchase
250,6883,2022-09-30,Login
251,3001,2022-05-03,Purchase
252,1883,2022-04-20,Cancel
253,3244,2021-12-29,Login
254,2667,2023-02-03,Login
255,5701,2025-01-28,Login
256,1384,2021-01-24,Purchase
257,6910,2023-08-15,Login
258,4139,2024-06-22,Login
259,7459,2023-12-12,Purchase
260,9718,2022-05-06,Login
261,9405,2024-10-24,Cancel
262,4250,2021-01-27,Support Request
263,353,2022-07-05,Purchase
264,8865,2022-09-13,Purchase
265,5271,2025-01-21,Login
266,5088,2023-08-14,Purchase
267,9097,2022-07-02,Login
268,9488,2024-07-17,Login
269,7625,2023-04-30,Support Request
270,1964,2023-11-09,Cancel
271,540,2020-05-09,Purchase
272,6551,2023-09-02,Login
273,1676,2023-04-03,Purchase
274,2602,2022-08-31,Support Request
275,9225,2020-03-23,Purchase
276,1389,2024-10-24,Support Request
277,3731,2024-05-11,Purchase
278,9892,2022-12-21,Support Request
279,7649,2023-11-18,Login
280,7746,2023-08-26,Purchase
281,7016,2020-07-13,Support Request
282,1593,2022-09-03,Purchase
283,7993,2021-08-11,Login
284,4716,2020-06-20,Login
285,8333,2020-09-16,Login
286,5307,2020-06-21,Login
287,9997,2023-01-30,Login
288,1505,2020-07-16,Login
289,5462,2020-10-25,Login
290,8372,2021-06-06,Login
291,3729,2020-12-24,Purchase
292,8371,2024-03-21,Login
293,3034,2020-09-21,Login
294,9113,2022-11-11,Cancel
295,1244,2023-07-09,Cancel
296,2271,2022-05-03,Purchase
297,1004,2022-11-27,Purchase
298,5279,2020-05-19,Purchase
299,9115,2023-02-14,Purchase
300,1523,2024-05-25,Login
301,6179,2021-04-27,Support Request
302,4449,2022-07-29,Login
303,5121,2021-01-11,Purchase
304,2789,2024-05-30,Purchase
305,3247,2023-03-13,Cancel
306,3023,2020-04-24,Purchase
307,8911,2021-01-31,Login
308,7901,2023-03-25,Purchase
309,8978,2023-02-21,Login
310,6032,2023-12-29,Support Request
311,4087,2022-10-17,Login
312,1001,2020-05-15,Login
313,5756,2023-06-10,Login
314,5940,2021-08-21,Purchase
315,9653,2022-01-19,Login
316,6588,2023-11-19,Purchase
317,6255,2021-05-09,Login
318,2825,2022-06-11,Support Request
319,6940,2020-10-06,Login
320,4674,2022-01-30,Login
321,7499,2022-03-19,Login
322,7008,2022-06-20,Support Request
323,4374,2021-01-19,Login
324,2595,2023-03-02,Login
325,7274,2022-02-26,Login
326,425,2020-11-08,Purchase
327,671,2024-05-03,Login
328,3775,2022-06-24,Login
329,5435,2020-10-17,Login
330,2698,2020-09-04,Purchase
331,1896,2021-01-21,Login
332,5156,2020-06-05,Purchase
333,6191,2021-03-22,Login
334,9146,2021-08-26,Login
335,5729,2022-03-15,Login
336,5352,2023-07-05,Cancel
337,5654,2023-07-07,Login
338,3486,2021-12-02,Purchase
339,407,2022-11-03,Login
340,3956,2024-02-22,Cancel
341,124,2025-02-10,Login
342,9963,2020-04-04,Purchase
343,7862,2022-04-11,Login
344,4826,2024-10-05,Purchase
345,9994,2022-12-14,Purchase
346,1188,2021-04-05,Login
347,170,2020-06-07,Login
348,7130,2020-07-31,Login
349,1328,2023-05-22,Cancel
350,5216,2020-10-27,Login
351,4796,2020-09-08,Purchase
352,6567,2021-07-04,Login
353,5112,2022-12-28,Login
354,3379,2021-01-03,Purchase
355,7674,2022-01-17,Login
356,8256,2022-07-30,Login
357,9636,2021-09-09,Purchase
358,9127,2023-01-14,Purchase
359,370,2021-07-10,Purchase
360,6660,2023-06-10,Login
361,7201,2023-06-14,Purchase
362,2773,2024-07-27,Support Request
363,7633,2021-02-26,Purchase
364,4514,2022-02-07,Support Request
365,4637,2023-11-29,Login
366,9923,2021-05-13,Login
367,4703,2021-12-26,Login
368,1512,2020-08-25,Cancel
369,6727,2023-03-07,Login
370,861,2021-05-09,Login
371,1597,2020-10-19,Purchase
372,7411,2020-10-06,Purchase
373,9419,2021-03-17,Purchase
374,9643,2023-03-30,Login
375,2137,2020-10-08,Support Request
376,9427,2022-08-16,Login
377,6701,2022-12-13,Login
378,5923,2024-10-04,Login
379,9797,2023-06-07,Login
380,5091,2024-01-17,Login
381,6339,2024-10-20,Login
382,1247,2021-08-12,Login
383,2700,2023-07-19,Login
384,4932,2024-08-14,Purchase
385,3232,2023-08-02,Login
386,3186,2024-07-28,Login
387,4120,2020-12-03,Cancel
388,4403,2022-02-02,Login
389,9956,2024-09-01,Login
390,5314,2023-08-25,Login
391,5644,2021-06-10,Login
392,2681,2020-04-21,Purchase
393,1708,2023-03-03,Support Request
394,4397,2024-05-17,Login
395,8377,2020-12-03,Support Request
396,6189,2021-09-01,Cancel
397,4730,2020-09-26,Purchase
398,1298,2024-01-16,Purchase
399,8029,2022-09-12,Purchase
400,797,2022-12-18,Login
401,9292,2022-12-13,Purchase
402,9378,2024-11-19,Login
403,773,2024-07-17,Login
404,7540,2021-09-06,Login
405,6010,2023-10-08,Purchase
406,3990,2024-10-25,Login
407,2681,2022-12-28,Login
408,8577,2020-07-20,Login
409,6858,2021-11-26,Cancel
410,6824,2023-01-10,Purchase
411,4213,2023-07-15,Login
412,9989,2022-12-01,Support Request
413,6886,2021-04-13,Purchase
414,73,2020-10-18,Login
415,3379,2020-08-07,Login
416,849,2021-11-09,Login
417,1693,2023-11-22,Login
418,5943,2021-12-02,Login
419,8084,2024-03-18,Login
420,5367,2023-04-22,Login
421,7003,2021-10-14,Cancel
422,5118,2022-03-15,Login
423,2492,2025-01-05,Cancel
424,3187,2023-01-13,Cancel
425,9456,2022-08-11,Login
426,6077,2025-01-29,Support Request
427,8404,2023-10-12,Login
428,3337,2020-04-16,Cancel
429,693,2022-12-04,Support Request
430,2801,2021-04-30,Login
431,4660,2025-01-28,Login
432,5397,2024-11-18,Purchase
433,7848,2020-05-04,Cancel
434,7403,2023-05-15,Cancel
435,6717,2021-03-27,Purchase
436,8476,2021-12-22,Login
437,460,2024-06-27,Cancel
438,2418,2022-11-10,Purchase
439,1471,2023-05-09,Login
440,3921,2020-09-22,Login
441,8041,2024-02-03,Login
442,5001,2024-02-24,Login
443,8702,2021-10-25,Login
444,5457,2022-03-23,Purchase
445,3244,2021-06-11,Support Request
446,7931,2023-06-30,Login
447,1376,2020-09-06,Purchase
448,7212,2021-06-11,Login
449,4012,2023-01-08,Purchase
450,8966,2024-07-02,Cancel
451,5008,2022-02-04,Purchase
452,7429,2024-03-21,Purchase
453,8295,2021-01-16,Purchase
454,4994,2021-12-30,Login
455,7539,2022-02-28,Purchase
456,6034,2024-09-09,Login
457,3950,2020-06-11,Login
458,3695,2023-05-07,Login
459,9209,2023-03-30,Purchase
460,660,2024-01-20,Login
461,4879,2025-02-25,Purchase
462,5044,2021-10-05,Login
463,7030,2023-03-20,Login
464,4764,2024-11-26,Purchase
465,1155,2023-03-29,Cancel
466,5305,2021-10-13,Login
467,4151,2023-01-04,Login
468,4800,2020-05-07,Purchase
469,6713,2024-03-21,Support Request
470,3108,2023-03-13,Login
471,6536,2024-03-09,Login
472,6921,2024-08-31,Login
473,2723,2024-11-04,Login
474,1406,2021-10-07,Purchase
475,5539,2024-09-04,Purchase
476,6283,2024-05-12,Login
477,376,2024-11-24,Cancel
478,4505,2022-12-12,Purchase
479,9341,2022-12-29,Purchase
480,2680,2020-10-03,Login
481,6989,2024-03-09,Login
482,541,2023-08-31,Cancel
483,5408,2023-03-22,Purchase
484,159,2025-02-12,Login
485,2266,2023-07-07,Login
486,6616,2024-03-30,Purchase
487,7942,2022-04-04,Login
488,4765,2024-03-18,Login
489,4255,2021-08-10,Login
490,912,2021-07-08,Purchase
491,1279,2023-01-29,Login
492,5752,2022-02-10,Purchase
493,6637,2022-02-19,Support Request
494,5992,2023-07-10,Login
495,3716,2023-11-17,Support Request
496,7005,2023-11-15,Login
497,9864,2024-02-27,Support Request
498,4456,2023-03-03,Login
499,6977,2024-01-09,Purchase
500,2085,2021-07-28,Purchase
501,4510,2023-06-03,Login
502,6863,2022-05-07,Login
503,5341,2023-08-16,Login
504,1944,2021-02-24,Cancel
505,3529,2024-03-24,Login
506,5259,2024-12-30,Login
507,1103,2024-06-12,Login
508,1213,2020-04-09,Login
509,110,2020-07-25,Login
510,5414,2025-02-27,Login
511,1152,2021-12-31,Login
512,9240,2022-10-17,Support Request
513,4310,2021-12-04,Cancel
514,5970,2022-05-11,Purchase
515,4681,2021-03-18,Support Request
516,5853,2021-10-11,Cancel
517,6496,2020-07-25,Login
518,4236,2021-12-12,Login
519,729,2023-02-25,Login
520,7321,2021-04-04,Login
521,5901,2023-10-06,Purchase
522,1290,2020-07-21,Purchase
523,2422,2021-07-20,Support Request
524,3533,2023-01-01,Cancel
525,7054,2024-12-25,Login
526,9340,2022-10-30,Login
527,9828,2023-02-24,Login
528,5096,2024-03-19,Support Request
529,6405,2021-07-16,Login
530,3092,2023-11-13,Login
531,7196,2022-02-26,Purchase
532,1460,2020-09-28,Login
533,7375,2023-09-16,Purchase
534,1447,2022-09-17,Cancel
535,4475,2022-12-25,Login
536,4625,2022-05-27,Login
537,5830,2020-04-27,Login
538,537,2022-04-07,Login
539,2122,2022-11-18,Support Request
540,9678,2023-04-29,Login
541,19,2023-03-14,Support Request
542,5899,2023-04-30,Purchase
543,7200,2022-04-28,Support Request
544,7724,2024-08-05,Login
545,2549,2024-03-29,Cancel
546,6237,2020-09-03,Login
547,605,2024-07-26,Login
548,2262,2023-02-19,Purchase
549,6075,2022-10-19,Cancel
550,4354,2020-11-19,Login
551,2316,2021-08-05,Purchase
552,6230,2023-01-08,Purchase
553,3649,2020-09-14,Purchase
554,4684,2020-03-30,Login
555,9548,2022-11-13,Cancel
556,6724,2021-12-31,Login
557,6929,2024-09-23,Login
558,6547,2024-09-01,Login
559,9601,2021-01-26,Purchase
560,564,2020-07-08,Login
561,5649,2023-08-18,Support Request
562,994,2023-12-13,Login
563,2283,2021-12-24,Login
564,954,2024-06-05,Login
565,838,2023-03-05,Support Request
566,7476,2021-05-23,Login
567,608,2024-03-26,Support Request
568,1381,2024-08-06,Support Request
569,6976,2024-06-05,Cancel
570,2909,2021-02-28,Purchase
571,7646,2024-08-27,Support Request
572,8005,2021-08-19,Login
573,4994,2023-01-25,Login
574,4554,2020-07-24,Purchase
575,7214,2021-09-15,Purchase
576,7636,2024-01-03,Cancel
577,6901,2022-04-23,Purchase
578,5586,2023-10-29,Purchase
579,5805,2020-10-16,Cancel
580,1060,2023-04-05,Support Request
581,1459,2021-03-27,Purchase
582,7698,2022-05-03,Purchase
583,3385,2021-05-09,Login
584,8622,2023-09-03,Login
585,1241,2023-03-27,Purchase
586,7140,2022-08-28,Login
587,7552,2022-11-20,Support Request
588,5098,2021-04-06,Login
589,3961,2022-12-18,Support Request
590,6773,2020-05-03,Login
591,3575,2020-12-23,Purchase
592,20,2022-07-03,Login
593,715,2022-05-03,Login
594,7290,2021-06-25,Login
595,4244,2022-07-13,Support Request
596,609,2021-07-05,Purchase
597,6858,2022-11-28,Cancel
598,1048,2023-03-29,Support Request
599,8609,2021-09-15,Login
600,9935,2022-01-06,Purchase
601,8168,2020-04-06,Login
602,2904,2020-08-24,Login
603,3919,2022-04-19,Login
604,7921,2022-08-04,Support Request
605,7818,2023-06-15,Login
606,7845,2024-07-16,Login
607,5494,2024-11-27,Login
608,3359,2020-05-01,Login
609,663,2024-09-16,Login
610,1791,2022-10-22,Purchase
611,7242,2024-05-11,Purchase
612,995,2021-09-05,Login
613,7401,2022-04-28,Support Request
614,8150,2023-05-05,Login
615,8731,2024-12-07,Purchase
616,9217,2022-10-18,Support Request
617,8639,2022-12-15,Login
618,9861,2024-09-28,Login
619,5131,2020-08-01,Login
620,6881,2021-12-11,Cancel
621,4432,2023-03-05,Purchase
622,6568,2021-04-23,Login
623,3550,2021-09-28,Login
624,1921,2021-11-28,Purchase
625,1343,2021-02-27,Login
626,3076,2024-02-19,Cancel
627,563,2022-04-11,Login
628,6845,2022-10-25,Purchase
629,8274,2023-07-29,Login
630,1747,2021-08-22,Login
631,356,2023-03-24,Purchase
632,1865,2021-04-19,Login
633,2330,2020-05-30,Purchase
634,3292,2022-03-05,Login
635,6460,2021-06-28,Support Request
636,6036,2022-11-20,Login
637,5651,2023-06-08,Purchase
638,2771,2024-07-29,Purchase
639,4201,2023-09-13,Login
640,7291,2020-09-16,Login
641,2537,2025-02-03,Login
642,7366,2021-10-27,Purchase
643,874,2021-01-30,Cancel
644,8440,2023-12-22,Login
645,6977,2021-08-01,Cancel
646,3341,2023-04-10,Purchase
647,568,2024-03-28,Cancel
648,5933,2023-11-19,Support Request
649,7929,2023-07-05,Login
650,1352,2022-12-20,Login
651,9884,2024-03-23,Cancel
652,7457,2020-09-18,Purchase
653,3938,2022-12-05,Login
654,9497,2024-08-07,Purchase
655,7998,2020-09-11,Login
656,8041,2023-03-08,Login
657,1916,2023-05-04,Purchase
658,2881,2020-11-26,Support Request
659,4843,2024-04-20,Login
660,6727,2020-10-11,Login
661,7285,2021-12-03,Purchase
662,5030,2023-09-10,Login
663,4433,2022-04-26,Support Request
664,6502,2022-09-14,Login
665,6011,2024-01-14,Login
666,2160,2020-09-30,Login
667,6174,2022-11-05,Login
668,4060,2020-07-05,Login
669,4423,2024-04-01,Purchase
670,6256,2024-04-24,Cancel
671,9965,2022-02-05,Login
672,2994,2020-10-19,Cancel
673,274,2021-01-27,Support Request
674,9479,2024-12-27,Support Request
675,2237,2021-09-26,Purchase
676,4478,2022-10-05,Login
677,1732,2023-07-08,Cancel
678,3729,2022-07-20,Login
679,7763,2021-12-13,Purchase
680,3431,2024-07-05,Support Request
681,5350,2024-11-16,Purchase
682,2061,2024-09-16,Purchase
683,8140,2020-03-15,Purchase
684,9317,2020-08-13,Cancel
685,1476,2020-05-19,Login
686,5928,2025-02-22,Support Request
687,4239,2020-12-24,Cancel
688,4124,2023-11-08,Purchase
689,5879,2023-10-28,Login
690,1227,2023-12-02,Purchase
691,8413,2024-01-24,Cancel
692,8315,2021-04-08,Cancel
693,5253,2020-07-13,Cancel
694,2218,2024-11-12,Support Request
695,5718,2022-04-08,Support Request
696,1960,2021-08-28,Cancel
697,6777,2025-01-24,Login
698,9492,2022-10-05,Login
699,1824,2020-11-05,Login
700,9910,2022-06-24,Login
701,6134,2022-02-09,Purchase
702,112,2021-12-30,Login
703,4974,2024-07-13,Login
704,5115,2022-05-14,Login
705,5320,2020-09-13,Purchase
706,3639,2024-09-22,Purchase
707,628,2022-09-30,Login
708,2417,2024-05-14,Login
709,2552,2021-03-28,Purchase
710,8635,2020-12-18,Support Request
711,2628,2022-03-20,Login
712,7369,2023-12-28,Purchase
713,6901,2021-04-07,Login
714,6591,2021-06-01,Purchase
715,4542,2022-03-28,Purchase
716,4030,2024-10-04,Login
717,8597,2023-08-26,Login
718,3281,2023-03-02,Purchase
719,3473,2024-09-02,Login
720,9169,2022-02-02,Cancel
721,6745,2021-04-08,Purchase
722,5302,2021-02-18,Cancel
723,3021,2021-02-28,Purchase
724,2200,2024-05-12,Purchase
725,7183,2022-03-02,Cancel
726,3324,2020-12-23,Login
727,588,2024-10-22,Cancel
728,7855,2025-01-25,Support Request
729,9582,2020-10-25,Purchase
730,3359,2021-08-15,Login
731,6244,2021-02-10,Login
732,8144,2021-12-20,Login
733,5800,2021-03-21,Purchase
734,1470,2024-01-09,Purchase
735,3254,2023-05-09,Login
736,9725,2020-08-01,Login
737,7166,2021-10-05,Purchase
738,7454,2020-11-26,Login
739,4917,2022-01-11,Login
740,4867,2023-03-19,Purchase
741,3828,2022-03-30,Cancel
742,2117,2022-09-03,Support Request
743,7322,2020-07-20,Cancel
744,6469,2022-03-30,Purchase
745,3920,2024-04-17,Support Request
746,9677,2020-10-25,Support Request
747,3211,2024-10-06,Login
748,3998,2021-05-17,Login
749,917,2023-05-26,Login
750,1284,2020-03-28,Login
751,6289,2024-07-22,Support Request
752,9719,2021-12-13,Purchase
753,5791,2022-03-18,Login
754,5638,2021-12-26,Login
755,5857,2024-02-23,Purchase
756,4212,2022-09-26,Purchase
757,2599,2023-03-23,Purchase
758,7275,2022-08-05,Cancel
759,2678,2022-11-11,Login
760,42,2021-11-19,Login
761,6227,2024-08-20,Cancel
762,3970,2025-02-26,Login
763,4366,2022-04-13,Support Request
764,5135,2023-04-22,Login
765,947,2022-11-23,Purchase
766,2710,2022-06-16,Support Request
767,7994,2023-08-05,Login
768,6846,2023-04-02,Login
769,946,2020-06-13,Login
770,2729,2024-03-25,Cancel
771,800,2022-07-03,Purchase
772,2209,2021-03-15,Login
773,5929,2022-03-29,Cancel
774,8275,2020-09-02,Login
775,7782,2021-01-10,Login
776,6259,2025-02-12,Login
777,7410,2021-03-09,Purchase
778,59,2024-09-15,Cancel
779,6243,2021-06-20,Login
780,3147,2025-01-08,Support Request
781,6659,2022-03-22,Support Request
782,6519,2024-10-28,Login
783,1015,2022-01-29,Login
784,8996,2021-03-30,Purchase
785,3735,2025-01-10,Purchase
786,5003,2020-08-16,Login
787,7331,2021-12-24,Login
788,6391,2024-04-29,Purchase
789,4858,2022-03-07,Login
790,3357,2024-05-02,Login
791,317,2024-02-28,Cancel
792,7699,2021-06-13,Login
793,4185,2024-05-23,Cancel
794,720,2022-01-10,Login
795,891,2024-05-25,Login
796,830,2022-09-17,Login
797,2327,2022-12-12,Login
798,2869,2020-08-07,Login
799,6027,2021-10-04,Login
800,3937,2023-12-25,Login
801,4168,2020-05-09,Login
802,4978,2025-01-22,Purchase
803,8409,2021-03-29,Purchase
804,3619,2024-02-13,Purchase
805,6115,2024-12-24,Login
806,110,2021-01-14,Login
807,9021,2023-05-16,Support Request
808,5287,2022-06-23,Login
809,2546,2021-05-24,Login
810,4676,2022-11-13,Login
811,4845,2021-12-20,Purchase
812,2432,2021-01-26,Login
813,5904,2022-06-22,Purchase
814,1913,2020-09-16,Purchase
815,1087,2024-05-16,Purchase
816,478,2022-09-28,Login
817,2335,2024-01-04,Support Request
818,6424,2020-10-12,Login
819,7863,2020-08-28,Purchase
820,5589,2020-09-18,Login
821,7072,2023-03-02,Cancel
822,9042,2020-07-29,Purchase
823,9071,2021-06-26,Login
824,6796,2021-04-09,Login
825,6178,2022-04-24,Login
826,66,2023-09-23,Login
827,2220,2022-01-15,Support Request
828,1878,2024-12-04,Purchase
829,5126,2021-11-20,Login
830,5900,2024-05-15,Purchase
831,5764,2022-11-23,Purchase
832,2636,2020-12-02,Login
833,8926,2020-03-03,Login
834,4937,2022-06-22,Login
835,9735,2022-12-05,Login
836,240,2023-12-15,Login
837,5167,2021-04-26,Support Request
838,8982,2021-12-13,Login
839,155,2020-08-20,Login
840,9766,2023-11-02,Purchase
841,7256,2021-01-14,Purchase
842,8462,2023-03-09,Login
843,9896,2022-02-10,Purchase
844,6500,2020-08-26,Login
845,9933,2024-03-13,Purchase
846,4709,2023-11-29,Purchase
847,2080,2022-12-24,Purchase
848,5957,2021-10-06,Login
849,7377,2020-06-11,Purchase
850,1111,2021-03-18,Login
851,2309,2021-05-23,Login
852,9000,2022-01-18,Cancel
853,3016,2024-04-12,Login
854,2523,2024-04-13,Login
855,766,2022-07-31,Login
856,5310,2021-01-14,Login
857,1282,2025-01-15,Purchase
858,9000,2023-11-21,Login
859,8697,2024-06-20,Purchase
860,6648,2025-01-09,Cancel
861,8775,2020-04-01,Purchase
862,434,2024-09-27,Login
863,8598,2025-02-23,Purchase
864,903,2021-10-23,Purchase
865,6639,2021-05-10,Login
866,7931,2023-06-13,Login
867,8557,2021-05-19,Cancel
868,7526,2022-01-04,Purchase
869,6965,2020-06-24,Purchase
870,2258,2024-08-22,Purchase
871,6763,2020-07-19,Support Request
872,9114,2021-11-27,Purchase
873,6375,2024-11-08,Purchase
874,3535,2022-04-01,Login
875,1878,2022-11-10,Login
