customer_id,subscription_type,start_date,end_date
82,Standard,2024-03-25,
83,Standard,2020-04-22,
84,Standard,2022-05-06,
85,Premium,2022-03-20,
86,Basic,2024-11-13,
87,Basic,2020-12-15,
88,Basic,2025-02-07,
89,Standard,2022-11-17,2024-07-03
90,Premium,2021-08-23,
91,Basic,2022-01-04,
92,Standard,2023-06-08,
93,Premium,2020-10-31,
94,Premium,2021-09-09,
95,Basic,2024-10-10,
96,Basic,2022-02-04,
97,Standard,2024-03-27,
98,Basic,2022-06-21,
99,Standard,2024-08-15,
100,Premium,2022-11-21,
101,Premium,2024-10-24,
102,Premium,2021-05-25,
103,Premium,2025-01-05,
104,Basic,2021-11-10,
105,Basic,2020-04-19,2021-03-16
106,Standard,2022-07-16,
107,Standard,2020-10-31,
108,Standard,2021-07-25,
109,Standard,2024-11-24,
110,Standard,2023-05-17,
111,Premium,2021-09-30,
112,Premium,2023-11-21,
113,Premium,2023-11-11,2024-03-07
114,Standard,2022-02-04,2024-12-15
115,Premium,2022-10-17,
116,Premium,2022-10-11,2023-06-01
117,Premium,2021-08-07,2023-09-17
118,Premium,2023-03-09,
119,Basic,2021-09-24,2022-03-29
120,Standard,2023-11-18,
121,Standard,2025-01-07,2025-01-30
122,Basic,2022-06-14,2022-11-16
123,Premium,2021-01-23,
124,Premium,2024-02-28,
125,Premium,2024-09-22,
126,Standard,2023-06-23,
127,Standard,2023-06-27,2025-01-09
128,Standard,2020-04-25,2022-06-09
129,Standard,2024-10-30,
130,Standard,2022-10-16,
131,Basic,2021-03-15,
132,Standard,2023-06-17,
133,Premium,2022-04-22,
134,Standard,2020-06-28,
135,Basic,2025-01-10,2025-02-24
136,Premium,2023-05-16,
137,Basic,2021-09-21,
138,Premium,2023-08-01,
139,Standard,2023-05-28,
140,Basic,2022-02-10,2023-03-14
141,Premium,2022-08-13,2023-06-05
142,Standard,2024-07-07,
143,Premium,2022-06-19,
144,Basic,2024-02-29,
145,Basic,2021-05-23,
146,Basic,2021-06-15,
147,Basic,2022-07-01,
148,Standard,2024-10-12,
149,Premium,2020-07-02,
150,Standard,2024-05-03,
151,Basic,2022-01-27,2024-08-28
152,Premium,2024-05-04,
153,Basic,2022-08-25,
154,Standard,2021-11-26,
155,Standard,2024-07-04,2025-01-05
156,Standard,2020-07-05,
157,Premium,2022-03-05,
158,Premium,2021-09-19,
159,Basic,2020-12-25,
160,Premium,2020-11-02,
161,Premium,2024-05-31,
162,Standard,2021-04-02,
163,Basic,2023-11-30,
164,Standard,2023-10-27,
165,Basic,2022-07-28,
166,Basic,2020-05-11,2022-03-29
167,Premium,2022-02-09,
168,Standard,2021-05-27,
169,Premium,2021-04-26,
170,Premium,2021-06-04,
171,Premium,2023-04-20,
172,Basic,2023-04-17,
173,Standard,2022-03-21,
174,Standard,2024-01-06,
175,Premium,2021-05-12,
176,Basic,2023-05-04,
177,Standard,2025-02-28,
178,Standard,2021-09-10,
179,Premium,2022-02-28,2023-08-01
180,Basic,2021-11-14,
181,Premium,2022-03-21,
182,Standard,2024-06-25,
183,Basic,2020-08-23,2024-03-06
184,Premium,2020-11-02,2023-11-15
185,Standard,2023-09-12,
186,Premium,2020-10-31,
187,Premium,2020-05-18,2024-08-09
188,Premium,2022-10-25,
189,Basic,2024-08-17,
190,Standard,2020-11-15,
191,Standard,2020-03-21,
192,Standard,2023-03-06,2023-10-31
193,Standard,2024-12-19,2025-01-29
194,Basic,2023-12-28,
195,Premium,2020-12-18,
196,Standard,2021-05-24,
197,Basic,2022-07-11,
198,Premium,2020-06-07,2022-05-05
199,Basic,2024-02-01,2024-04-25
200,Basic,2023-04-28,
201,Standard,2022-07-07,
202,Standard,2022-08-08,
203,Premium,2024-08-19,
204,Premium,2022-04-13,2024-07-02
205,Standard,2022-02-01,
206,Basic,2022-05-23,
207,Standard,2022-02-12,
208,Premium,2024-01-11,
209,Basic,2022-10-26,
210,Basic,2021-10-03,
211,Basic,2021-07-02,
212,Standard,2024-03-27,
213,Standard,2022-03-18,
214,Premium,2024-08-29,
215,Basic,2024-09-04,
216,Basic,2024-11-05,
217,Standard,2024-04-04,
218,Premium,2024-11-12,
219,Premium,2021-05-22,
220,Basic,2024-11-14,2024-11-15
221,Standard,2024-07-22,
222,Basic,2021-03-20,
223,Standard,2024-03-04,
224,Premium,2023-09-18,
225,Basic,2020-04-10,
226,Basic,2020-08-19,
227,Basic,2024-04-30,2024-05-14
228,Premium,2023-10-20,
229,Basic,2020-10-31,2022-10-24
230,Premium,2021-11-08,
231,Standard,2022-04-23,
232,Premium,2021-05-17,
233,Standard,2020-12-31,
234,Premium,2024-04-11,
235,Premium,2021-05-05,
236,Basic,2022-09-06,
237,Premium,2022-03-08,
238,Basic,2023-06-07,
239,Standard,2024-08-10,
240,Standard,2020-03-27,
241,Basic,2020-04-17,2023-01-13
242,Standard,2023-12-24,2024-11-06
243,Premium,2020-04-17,2022-01-16
244,Basic,2020-12-17,
245,Basic,2022-10-31,
246,Basic,2021-09-12,2023-05-18
247,Standard,2023-11-09,
248,Standard,2024-05-09,2024-07-13
249,Premium,2020-11-19,2023-10-23
250,Premium,2023-05-26,2024-03-14
251,Basic,2024-06-30,
252,Premium,2021-07-30,
253,Standard,2021-05-18,2024-06-25
254,Premium,2020-10-25,
255,Standard,2023-01-27,
256,Premium,2024-01-06,
257,Standard,2024-03-08,2024-11-11
258,Standard,2021-02-01,
259,Premium,2021-03-19,
260,Premium,2021-06-17,
261,Standard,2021-01-09,
262,Basic,2025-01-02,2025-02-28
263,Premium,2025-01-27,
264,Standard,2020-04-18,
265,Premium,2023-08-09,2024-05-08
266,Premium,2021-12-11,
267,Premium,2025-02-03,
268,Premium,2023-06-18,
269,Premium,2024-04-22,
270,Basic,2025-01-15,
271,Basic,2022-08-15,2022-08-19
272,Basic,2021-06-09,2024-03-01
273,Standard,2024-10-21,2025-02-15
274,Basic,2023-08-10,2024-03-23
275,Basic,2022-03-29,
276,Standard,2020-06-25,
277,Basic,2023-11-14,
278,Premium,2024-11-28,
279,Basic,2025-03-02,
280,Basic,2021-11-19,
281,Basic,2021-03-05,2023-07-07
282,Premium,2021-12-07,
283,Premium,2020-11-04,
284,Premium,2024-04-20,
285,Premium,2023-02-16,
286,Standard,2024-10-12,
287,Premium,2024-07-31,
288,Premium,2020-12-25,
289,Premium,2021-03-31,
290,Premium,2021-10-04,
291,Standard,2020-06-11,
292,Basic,2023-04-07,
293,Basic,2021-07-12,2024-05-30
294,Premium,2020-03-19,
295,Premium,2024-01-29,
296,Premium,2022-09-14,
297,Basic,2022-10-11,
298,Basic,2021-05-15,
299,Premium,2020-12-03,
300,Basic,2025-01-16,
301,Standard,2022-04-20,
302,Premium,2024-02-02,
303,Premium,2021-02-13,
304,Standard,2021-05-03,
305,Standard,2023-04-15,
306,Basic,2021-12-12,2022-07-28
307,Standard,2024-03-23,
308,Premium,2024-11-07,
309,Basic,2021-09-23,
310,Standard,2023-02-10,
311,Basic,2022-04-04,
312,Basic,2020-04-06,
313,Basic,2020-03-12,
314,Basic,2024-11-24,2024-12-03
315,Standard,2023-08-20,2024-03-30
316,Premium,2024-09-05,
317,Premium,2022-09-20,
318,Standard,2021-10-11,
319,Premium,2023-04-29,
320,Basic,2022-01-12,
321,Basic,2021-06-22,
322,Basic,2023-04-23,
323,Standard,2024-05-07,
324,Basic,2021-06-26,
325,Basic,2020-03-11,2021-02-24
326,Standard,2022-04-08,
327,Basic,2024-03-22,
328,Basic,2023-08-15,
329,Premium,2022-08-20,
330,Standard,2023-04-05,
331,Basic,2023-10-03,
332,Basic,2023-12-19,
333,Basic,2023-06-15,
334,Basic,2024-08-19,
335,Premium,2021-01-04,
336,Premium,2021-09-11,
337,Premium,2022-02-28,2024-09-06
338,Premium,2022-12-23,
339,Standard,2022-05-30,
340,Basic,2020-07-26,
341,Premium,2022-05-27,
342,Basic,2022-03-05,
343,Standard,2023-05-29,
344,Basic,2022-12-12,
345,Basic,2020-09-21,
346,Premium,2025-02-18,
347,Premium,2024-03-22,
348,Standard,2023-02-22,
349,Basic,2023-09-10,
350,Premium,2023-08-06,
351,Premium,2021-01-05,
352,Premium,2021-07-01,2024-08-18
353,Standard,2023-10-17,
354,Basic,2022-10-28,
355,Premium,2020-08-25,
356,Basic,2021-02-12,
357,Standard,2020-06-21,
358,Basic,2020-04-08,
359,Premium,2022-10-20,2024-06-25
360,Basic,2023-01-02,
361,Basic,2023-08-17,
362,Standard,2021-03-23,
363,Standard,2020-05-10,
364,Basic,2023-02-21,
365,Basic,2020-03-05,2023-10-17
366,Basic,2020-08-03,
367,Standard,2022-11-25,2024-09-10
368,Standard,2022-11-19,2024-05-17
369,Basic,2022-03-27,
370,Standard,2023-12-31,
371,Premium,2024-09-13,
372,Standard,2020-07-26,
373,Standard,2024-03-08,
374,Standard,2023-10-14,
375,Premium,2020-10-30,
376,Premium,2022-01-22,
377,Premium,2020-06-15,2023-11-25
378,Basic,2021-07-04,
379,Basic,2022-06-07,2023-03-12
380,Premium,2020-04-15,
381,Basic,2023-06-02,
382,Basic,2023-04-11,
383,Basic,2021-03-11,
384,Premium,2023-04-19,2024-05-10
385,Standard,2024-08-14,
386,Premium,2021-10-22,2024-03-28
387,Premium,2024-08-25,
388,Basic,2023-02-16,
389,Basic,2023-08-26,
390,Standard,2023-03-10,2024-01-01
391,Standard,2024-10-09,2025-02-14
392,Standard,2021-06-06,
393,Standard,2022-03-24,
394,Premium,2022-05-27,
395,Standard,2024-09-01,
396,Premium,2023-06-23,2023-10-18
397,Basic,2023-06-19,2024-10-25
398,Standard,2021-09-03,
399,Basic,2021-02-09,
400,Basic,2022-01-16,
401,Premium,2021-06-29,
402,Standard,2024-01-28,2024-10-27
403,Premium,2024-08-23,
404,Basic,2024-11-02,2024-12-02
405,Standard,2022-05-18,
406,Basic,2022-10-23,2024-12-22
407,Basic,2022-04-19,
408,Standard,2021-09-29,
409,Standard,2025-01-14,2025-01-17
410,Standard,2024-11-01,
411,Premium,2024-01-03,
412,Premium,2023-03-27,2024-10-04
413,Basic,2024-11-19,2024-12-30
414,Standard,2023-11-18,
415,Basic,2023-11-01,
416,Basic,2023-11-20,
417,Basic,2023-04-16,
418,Basic,2024-03-19,
419,Basic,2023-12-20,
420,Standard,2020-10-24,
421,Premium,2022-02-28,
422,Standard,2024-03-24,
423,Standard,2023-07-10,
424,Standard,2021-01-15,
425,Premium,2024-01-16,
426,Premium,2020-06-05,
427,Premium,2020-08-12,
428,Standard,2020-12-13,2022-03-18
429,Premium,2022-09-07,
430,Basic,2024-05-01,
431,Premium,2023-10-15,
432,Standard,2020-09-14,
433,Standard,2022-10-18,
434,Basic,2021-05-16,
435,Premium,2024-06-26,
436,Premium,2023-12-13,
437,Basic,2020-04-30,
438,Standard,2021-12-31,2024-11-10
439,Standard,2023-02-21,
440,Premium,2023-05-03,
441,Premium,2024-08-15,
442,Premium,2022-07-01,2024-07-09
443,Premium,2022-08-04,
444,Premium,2024-12-16,
445,Standard,2022-10-27,2023-06-25
446,Standard,2020-11-04,2023-08-10
447,Standard,2022-12-08,2023-04-30
448,Standard,2022-01-21,
449,Basic,2022-04-20,
450,Standard,2023-07-04,
451,Basic,2020-11-25,
452,Standard,2023-11-14,
453,Premium,2024-03-04,
454,Premium,2021-06-04,2023-03-23
455,Premium,2022-04-11,
456,Basic,2024-01-25,
457,Standard,2021-12-01,
458,Standard,2020-08-07,
459,Basic,2024-10-15,
460,Basic,2020-03-30,
461,Basic,2022-08-29,
462,Basic,2024-07-15,
463,Basic,2024-11-30,
464,Premium,2021-07-24,
465,Standard,2023-11-12,2024-04-04
466,Basic,2023-12-11,
467,Premium,2022-05-19,
468,Basic,2023-04-12,2024-03-13
469,Premium,2023-07-30,
470,Basic,2024-02-12,2025-02-10
471,Standard,2020-04-04,
472,Basic,2025-01-17,2025-02-25
473,Basic,2023-10-26,
474,Standard,2024-01-05,2024-11-01
475,Standard,2024-01-23,
476,Basic,2023-09-10,2024-08-16
477,Standard,2023-12-16,
478,Standard,2024-08-13,
479,Premium,2024-01-05,2024-01-22
480,Standard,2023-05-31,
481,Standard,2021-08-04,
482,Basic,2021-03-17,
483,Basic,2021-06-15,
484,Premium,2023-02-23,
485,Basic,2021-09-30,
486,Standard,2023-07-26,2024-09-25
487,Standard,2023-07-23,
488,Standard,2021-06-30,
489,Basic,2020-11-27,2024-08-27
490,Standard,2024-12-30,2025-02-08
491,Standard,2023-04-16,
492,Premium,2022-04-19,
493,Premium,2021-11-23,
494,Premium,2023-11-28,
495,Basic,2021-02-13,
496,Standard,2023-09-19,
497,Standard,2022-01-27,
498,Standard,2020-05-13,
499,Premium,2023-08-04,2024-09-29
500,Standard,2022-10-10,2024-01-05
501,Standard,2021-01-28,
502,Standard,2023-11-08,
503,Standard,2024-10-13,
504,Standard,2024-05-09,2025-02-21
505,Basic,2022-02-28,
506,Standard,2023-01-11,
507,Basic,2023-07-11,2024-10-19
508,Standard,2021-03-23,2023-12-27
509,Basic,2021-11-18,2024-10-13
510,Standard,2020-10-16,
511,Standard,2020-10-08,
512,Standard,2022-08-09,
513,Standard,2024-02-22,2024-06-12
514,Premium,2020-08-26,2023-11-14
515,Standard,2023-10-30,
516,Basic,2021-04-07,
517,Premium,2022-11-25,
518,Premium,2022-02-06,2025-02-27
519,Standard,2023-11-02,2024-12-07
520,Basic,2023-04-04,
521,Basic,2024-06-17,
522,Premium,2023-12-11,
523,Basic,2024-02-13,2024-11-01
524,Standard,2021-02-25,2023-06-30
525,Standard,2023-10-27,2024-09-12
526,Standard,2023-01-07,
527,Standard,2020-08-25,
528,Standard,2022-09-18,
529,Premium,2022-10-07,
530,Standard,2021-04-01,2021-05-19
531,Standard,2022-10-18,2024-06-01
532,Premium,2024-08-25,2024-10-26
533,Premium,2020-08-19,2023-01-16
534,Premium,2024-10-29,
535,Basic,2023-11-04,
536,Basic,2024-04-13,2024-12-18
537,Standard,2021-09-02,2022-06-26
538,Standard,2023-06-25,
539,Standard,2022-05-21,
540,Basic,2021-05-19,
541,Standard,2020-07-23,2024-07-27
542,Standard,2022-05-15,
543,Basic,2022-05-28,
544,Premium,2021-04-05,
545,Basic,2024-01-22,
546,Standard,2022-08-12,
547,Basic,2024-07-01,
548,Premium,2021-02-01,
549,Premium,2024-08-04,
550,Premium,2020-05-24,
551,Premium,2020-06-29,
552,Premium,2024-04-04,2025-02-21
553,Premium,2022-11-11,
554,Standard,2025-02-21,
555,Standard,2024-10-05,2024-12-12
556,Basic,2023-05-23,
557,Standard,2023-09-12,
558,Premium,2020-09-02,
559,Standard,2021-07-15,
560,Basic,2023-06-17,
561,Premium,2022-11-20,
562,Standard,2024-03-26,
563,Standard,2022-12-08,
564,Basic,2023-04-03,
565,Premium,2021-11-12,
566,Basic,2022-08-31,
567,Premium,2021-05-06,
568,Premium,2022-09-15,
569,Standard,2023-01-12,2024-09-30
570,Basic,2023-02-09,
571,Basic,2024-11-21,
572,Basic,2020-05-17,
573,Premium,2020-04-17,
574,Basic,2021-02-03,
575,Premium,2020-08-11,2023-08-04
576,Basic,2022-11-22,2023-04-27
577,Basic,2023-06-16,
578,Standard,2021-12-01,2024-02-05
579,Basic,2021-10-10,
580,Standard,2023-07-03,
581,Standard,2022-09-16,
582,Premium,2021-06-09,2022-08-06
583,Basic,2021-10-05,
584,Basic,2021-08-27,
585,Basic,2025-02-12,
586,Standard,2021-03-05,
587,Basic,2020-08-31,
588,Premium,2024-02-23,
589,Premium,2021-03-23,
590,Basic,2023-07-31,
591,Standard,2020-11-30,
592,Premium,2022-07-30,
593,Premium,2021-12-17,
594,Standard,2021-01-24,
595,Premium,2021-06-21,2022-01-04
596,Standard,2023-06-29,
597,Premium,2023-10-15,
598,Standard,2021-01-04,
599,Premium,2020-08-22,
600,Basic,2022-04-13,
601,Premium,2022-07-21,
602,Premium,2020-12-08,
603,Basic,2023-10-09,
604,Basic,2020-03-11,
605,Basic,2021-03-24,
606,Basic,2022-05-18,
607,Standard,2021-04-25,
608,Standard,2021-11-11,
609,Premium,2024-03-22,
610,Premium,2023-09-13,
611,Premium,2020-10-16,
612,Standard,2025-02-16,
613,Premium,2021-01-09,
614,Premium,2021-05-20,
615,Standard,2023-11-24,2024-04-18
616,Premium,2023-12-30,2024-02-05
617,Standard,2024-04-15,
618,Standard,2020-11-17,
619,Basic,2020-08-12,2021-05-27
620,Basic,2025-01-29,
621,Standard,2022-12-03,
622,Standard,2022-01-22,
623,Basic,2021-11-08,
624,Premium,2020-10-22,
625,Premium,2023-09-09,
626,Premium,2023-06-28,
627,Standard,2020-06-12,
628,Basic,2023-07-05,
629,Premium,2020-10-19,
630,Basic,2020-08-29,
631,Basic,2024-01-02,
632,Standard,2025-01-25,2025-02-16
633,Premium,2021-01-31,
634,Basic,2020-04-29,
635,Standard,2023-12-14,
636,Standard,2022-03-12,
637,Standard,2020-09-30,
638,Premium,2024-06-29,
639,Premium,2020-12-19,
640,Standard,2020-08-29,
641,Premium,2024-09-18,
642,Premium,2021-03-22,
643,Basic,2024-11-21,
644,Standard,2021-02-25,
645,Standard,2024-11-12,
646,Premium,2022-09-23,2023-07-12
647,Standard,2021-09-18,
648,Standard,2022-01-15,
649,Standard,2020-06-08,
650,Premium,2022-12-02,
651,Premium,2020-05-17,
652,Premium,2020-04-07,
653,Basic,2024-11-07,
654,Standard,2021-01-29,
655,Basic,2020-11-19,
656,Premium,2023-09-03,
657,Basic,2020-03-20,
658,Standard,2022-05-31,
659,Standard,2025-03-03,
660,Premium,2022-06-25,
661,Premium,2022-11-17,
662,Basic,2023-11-05,2025-01-14
663,Premium,2023-09-09,
664,Basic,2022-01-18,
665,Standard,2025-01-31,
666,Standard,2024-08-17,
667,Standard,2022-10-15,
668,Standard,2021-05-08,
669,Standard,2024-12-24,
670,Basic,2021-06-21,
671,Standard,2021-05-10,
672,Basic,2023-03-13,2024-05-17
673,Standard,2024-09-08,
674,Basic,2022-10-03,
675,Basic,2022-07-27,
676,Basic,2024-07-10,2024-07-15
677,Premium,2022-03-26,
678,Basic,2020-07-15,
679,Basic,2020-03-05,2020-09-14
680,Standard,2022-05-02,2022-09-09
681,Basic,2020-08-12,2024-09-17
682,Basic,2022-12-27,
683,Premium,2022-07-30,
684,Standard,2024-03-19,
685,Premium,2022-08-27,2023-08-29
686,Premium,2020-08-01,
687,Premium,2020-10-14,
688,Basic,2020-12-01,
689,Premium,2024-10-03,
690,Premium,2023-05-13,
691,Standard,2022-12-10,
692,Standard,2021-12-07,
693,Standard,2023-09-28,
694,Standard,2023-05-14,
695,Premium,2020-10-14,
696,Standard,2021-02-02,
697,Basic,2022-08-03,
698,Premium,2024-10-14,
699,Standard,2025-01-16,
700,Premium,2025-02-28,
701,Standard,2021-12-01,
702,Premium,2023-10-04,
703,Standard,2021-10-30,
704,Basic,2021-11-10,
705,Standard,2023-03-11,
706,Premium,2023-03-08,2024-02-21
707,Premium,2021-02-04,
708,Basic,2021-07-30,2023-03-21
709,Premium,2023-04-16,
710,Basic,2024-01-30,
711,Premium,2022-02-02,
712,Premium,2024-07-25,
713,Basic,2023-02-16,
714,Premium,2024-05-12,
715,Premium,2021-11-17,
716,Basic,2023-07-16,2023-08-14
717,Standard,2020-12-08,2022-04-04
718,Basic,2020-08-05,2020-10-01
719,Premium,2022-12-20,
720,Standard,2022-11-21,
721,Standard,2024-06-04,2025-03-03
722,Standard,2025-02-27,
723,Basic,2021-09-15,
724,Standard,2020-06-10,
725,Standard,2022-09-10,
726,Standard,2024-08-23,2024-12-08
727,Premium,2020-04-08,
728,Basic,2023-12-22,
729,Basic,2024-02-11,
730,Premium,2020-12-22,
731,Standard,2021-01-06,
732,Premium,2023-12-26,2024-06-18
733,Premium,2023-10-11,
734,Standard,2024-04-23,
735,Standard,2023-05-26,
736,Basic,2021-08-05,2022-11-02
737,Standard,2020-07-29,
738,Premium,2020-10-30,2024-09-25
739,Premium,2021-02-06,
740,Standard,2021-11-15,
741,Basic,2022-04-07,
742,Premium,2024-06-16,
743,Standard,2022-04-20,
744,Basic,2021-05-24,
745,Basic,2022-10-11,
746,Premium,2022-01-06,2023-12-06
747,Premium,2020-06-19,
748,Basic,2024-04-02,
749,Basic,2024-09-01,2025-02-12
750,Basic,2022-05-06,
751,Standard,2021-02-08,
752,Premium,2020-03-07,2021-01-07
753,Basic,2023-02-26,
754,Premium,2024-10-01,
755,Premium,2021-04-10,
756,Premium,2022-07-23,
757,Basic,2021-01-04,
758,Standard,2023-09-01,
759,Basic,2024-03-18,2024-07-21
760,Premium,2024-05-02,
761,Basic,2020-10-02,
762,Basic,2020-04-08,
763,Premium,2021-05-20,
764,Premium,2020-12-06,
765,Basic,2022-01-13,
766,Basic,2024-01-06,
767,Basic,2023-04-14,
768,Basic,2024-06-27,2024-06-28
769,Standard,2021-12-08,
770,Basic,2024-05-30,2024-09-20
771,Standard,2021-08-14,
772,Premium,2024-06-01,2024-09-16
773,Standard,2020-07-29,
774,Premium,2024-10-25,
775,Standard,2024-09-08,
776,Premium,2021-11-17,
777,Basic,2021-01-16,
778,Standard,2025-02-06,
779,Standard,2023-11-13,
780,Premium,2021-03-17,
781,Premium,2020-09-20,
782,Standard,2020-03-15,
783,Premium,2021-09-18,
784,Basic,2024-10-12,
785,Standard,2023-11-12,
786,Basic,2020-06-30,2023-06-12
787,Standard,2021-01-18,
788,Basic,2020-06-09,
789,Standard,2023-03-13,
790,Premium,2023-06-03,2023-11-25
791,Standard,2025-02-15,
792,Basic,2024-08-23,
793,Standard,2023-07-20,
794,Basic,2025-02-09,
795,Basic,2025-01-03,
796,Basic,2020-07-19,2021-08-04
797,Premium,2022-01-23,2024-05-31
798,Standard,2020-11-09,
799,Basic,2024-07-04,
800,Premium,2023-11-29,2024-04-09
801,Basic,2020-10-28,
802,Standard,2025-02-06,
803,Premium,2023-03-05,
804,Basic,2020-09-03,
805,Basic,2021-08-26,
806,Basic,2021-06-20,
807,Standard,2021-11-24,2024-12-27
808,Premium,2020-08-21,2020-12-19
809,Premium,2022-01-07,
810,Premium,2021-01-30,
811,Basic,2021-05-08,2024-11-04
812,Premium,2020-10-02,2021-11-15
813,Basic,2021-06-25,
814,Standard,2022-09-21,2022-10-13
815,Premium,2020-11-10,2021-06-20
816,Basic,2021-02-22,
817,Premium,2024-07-03,
818,Premium,2021-01-31,
819,Standard,2024-01-06,
820,Premium,2023-02-11,
821,Standard,2024-08-29,2024-12-19
822,Premium,2022-12-17,
823,Premium,2020-10-01,
824,Premium,2021-05-28,
825,Premium,2022-07-02,
826,Premium,2024-12-15,2025-01-10
827,Premium,2020-07-01,
828,Standard,2024-02-22,
829,Standard,2023-04-18,
830,Basic,2023-07-13,
831,Premium,2024-05-04,
832,Standard,2021-12-26,
833,Premium,2023-12-09,
834,Premium,2024-08-16,
835,Standard,2020-12-20,
836,Premium,2020-05-15,
837,Standard,2020-07-28,2024-12-22
838,Standard,2024-09-24,
839,Basic,2021-11-05,
840,Basic,2020-04-28,
841,Basic,2023-07-16,
842,Basic,2020-04-28,
843,Premium,2024-09-23,
844,Premium,2022-08-09,2024-02-23
845,Basic,2021-05-31,
846,Standard,2022-03-04,
847,Standard,2022-06-29,
848,Standard,2021-03-24,2024-02-15
849,Standard,2023-07-18,
850,Premium,2024-10-09,
851,Standard,2024-07-09,
852,Standard,2023-01-23,
853,Basic,2022-02-01,
854,Standard,2022-04-21,2024-07-21
855,Premium,2024-06-30,
856,Standard,2024-09-21,
857,Standard,2021-06-08,
858,Premium,2025-02-12,
859,Basic,2023-01-01,
860,Premium,2020-08-16,
861,Basic,2021-08-01,
862,Standard,2020-12-04,
863,Basic,2020-03-03,
864,Basic,2024-06-04,
865,Basic,2020-03-25,
866,Standard,2021-12-27,
867,Basic,2023-09-19,
868,Basic,2023-04-15,
869,Standard,2025-02-03,2025-02-20
870,Premium,2021-06-09,2025-02-18
871,Premium,2023-02-16,
872,Premium,2022-08-25,
873,Standard,2020-04-21,
874,Standard,2020-08-18,
875,Premium,2023-05-30,
876,Basic,2023-04-11,
877,Premium,2024-12-29,
878,Standard,2021-09-01,
879,Basic,2021-10-06,
880,Basic,2023-01-23,
881,Standard,2023-02-01,
882,Basic,2021-12-22,
883,Premium,2024-05-21,
884,Standard,2022-05-31,
885,Standard,2024-01-07,
886,Standard,2021-05-18,
887,Standard,2023-12-05,
888,Basic,2021-05-16,
889,Standard,2021-02-22,
890,Standard,2020-10-14,
891,Basic,2021-07-05,
892,Standard,2023-07-02,2023-09-22
893,Basic,2020-04-19,2023-08-25
894,Basic,2022-05-12,
895,Standard,2021-12-20,
896,Premium,2022-01-25,
897,Standard,2020-06-10,
898,Premium,2023-08-15,2024-03-24
899,Basic,2021-10-03,
900,Premium,2023-08-27,
901,Standard,2021-10-14,
902,Standard,2020-08-10,
903,Premium,2021-01-08,
904,Standard,2023-04-04,
905,Premium,2023-07-03,
906,Basic,2020-05-17,2022-01-02
907,Premium,2022-12-17,2023-02-08
908,Premium,2022-09-29,
909,Premium,2021-05-19,
910,Premium,2022-09-24,
911,Basic,2020-07-11,
912,Basic,2020-08-04,
913,Basic,2022-06-26,
914,Premium,2020-10-09,
915,Basic,2022-11-17,
916,Standard,2023-08-30,
917,Basic,2020-05-25,
